Species,Assay,Extract,Concentration_mg_mL,Exposure_h,Mean_mortality_percent,Stage,PlantPart,Solvent,Mortality_fraction,Data_type,Species_Rhipicephalus_decoloratus,Species_Rhipicephalus_microplus,Stage_Adult,Stage_Larval,PlantPart_Exudate,PlantPart_Stem_bark,Solvent_DCM,Solvent_MeOH
Rhipicephalus decoloratus,Larval immersion test,Stem bark-DCM,5.0,24.0,16.65,Larval,Stem bark,DCM,0.16649999999999998,Paper-reported mean; not raw replicate-level observations,1,0,0,1,0,1,1,0
Rhipicephalus decoloratus,Adult immersion test,Stem bark-MeOH,10.0,72.0,46.67,Adult,Stem bark,MeOH,0.4667,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-MeOH,10.0,24.0,10.0,Adult,Exudate,MeOH,0.1,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-MeOH,10.0,48.0,18.0,Adult,Exudate,MeOH,0.18,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-MeOH,10.0,72.0,36.0,Adult,Exudate,MeOH,0.36,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-DCM,10.0,24.0,18.33,Adult,Exudate,DCM,0.1833,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,1,0
Rhipicephalus decoloratus,Adult immersion test,Exudate-DCM,10.0,48.0,29.0,Adult,Exudate,DCM,0.29,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,1,0
Rhipicephalus decoloratus,Adult immersion test,Exudate-DCM,10.0,72.0,56.0,Adult,Exudate,DCM,0.56,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,1,0
Rhipicephalus decoloratus,Adult immersion test,Stem bark-DCM,20.0,24.0,29.0,Adult,Stem bark,DCM,0.29,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,1,0
Rhipicephalus decoloratus,Adult immersion test,Stem bark-DCM,20.0,48.0,50.33,Adult,Stem bark,DCM,0.5033,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,1,0
Rhipicephalus decoloratus,Adult immersion test,Stem bark-DCM,20.0,72.0,71.67,Adult,Stem bark,DCM,0.7167,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,1,0
Rhipicephalus decoloratus,Adult immersion test,Stem bark-MeOH,20.0,24.0,19.33,Adult,Stem bark,MeOH,0.19329999999999997,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,0,1
Rhipicephalus decoloratus,Adult immersion test,Stem bark-MeOH,20.0,48.0,46.67,Adult,Stem bark,MeOH,0.4667,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,0,1
Rhipicephalus decoloratus,Adult immersion test,Stem bark-MeOH,20.0,72.0,63.0,Adult,Stem bark,MeOH,0.63,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-MeOH,20.0,24.0,15.0,Adult,Exudate,MeOH,0.15,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-MeOH,20.0,48.0,32.0,Adult,Exudate,MeOH,0.32,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-MeOH,20.0,72.0,58.33,Adult,Exudate,MeOH,0.5832999999999999,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-DCM,20.0,24.0,25.0,Adult,Exudate,DCM,0.25,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,1,0
Rhipicephalus decoloratus,Adult immersion test,Exudate-DCM,20.0,48.0,47.67,Adult,Exudate,DCM,0.4767,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,1,0
Rhipicephalus decoloratus,Adult immersion test,Exudate-DCM,20.0,72.0,70.0,Adult,Exudate,DCM,0.7,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,1,0
Rhipicephalus decoloratus,Adult immersion test,Stem bark-DCM,40.0,24.0,34.33,Adult,Stem bark,DCM,0.3433,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,1,0
Rhipicephalus decoloratus,Adult immersion test,Stem bark-DCM,40.0,48.0,67.33,Adult,Stem bark,DCM,0.6733,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,1,0
Rhipicephalus decoloratus,Adult immersion test,Stem bark-DCM,40.0,72.0,85.67,Adult,Stem bark,DCM,0.8567,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,1,0
Rhipicephalus decoloratus,Adult immersion test,Stem bark-MeOH,40.0,24.0,26.0,Adult,Stem bark,MeOH,0.26,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,0,1
Rhipicephalus decoloratus,Adult immersion test,Stem bark-MeOH,40.0,48.0,52.67,Adult,Stem bark,MeOH,0.5267000000000001,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,0,1
Rhipicephalus decoloratus,Adult immersion test,Stem bark-MeOH,40.0,72.0,74.0,Adult,Stem bark,MeOH,0.74,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-MeOH,40.0,24.0,22.33,Adult,Exudate,MeOH,0.22329999999999997,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-MeOH,40.0,48.0,39.33,Adult,Exudate,MeOH,0.3933,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-MeOH,40.0,72.0,72.0,Adult,Exudate,MeOH,0.72,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-DCM,40.0,24.0,32.33,Adult,Exudate,DCM,0.3233,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,1,0
Rhipicephalus decoloratus,Adult immersion test,Exudate-DCM,40.0,48.0,57.0,Adult,Exudate,DCM,0.57,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,1,0
Rhipicephalus decoloratus,Adult immersion test,Exudate-DCM,40.0,72.0,81.33,Adult,Exudate,DCM,0.8133,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,1,0
Rhipicephalus decoloratus,Adult immersion test,Stem bark-DCM,80.0,24.0,47.33,Adult,Stem bark,DCM,0.4733,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,1,0
Rhipicephalus decoloratus,Adult immersion test,Stem bark-DCM,80.0,48.0,75.67,Adult,Stem bark,DCM,0.7567,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,1,0
Rhipicephalus decoloratus,Adult immersion test,Stem bark-DCM,80.0,72.0,100.0,Adult,Stem bark,DCM,1.0,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,1,0
Rhipicephalus decoloratus,Adult immersion test,Stem bark-MeOH,80.0,24.0,35.67,Adult,Stem bark,MeOH,0.3567,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,0,1
Rhipicephalus decoloratus,Adult immersion test,Stem bark-MeOH,80.0,48.0,58.0,Adult,Stem bark,MeOH,0.58,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,0,1
Rhipicephalus decoloratus,Adult immersion test,Stem bark-MeOH,80.0,72.0,95.0,Adult,Stem bark,MeOH,0.95,Paper-reported mean; not raw replicate-level observations,1,0,1,0,0,1,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-MeOH,80.0,24.0,28.67,Adult,Exudate,MeOH,0.2867,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-MeOH,80.0,48.0,53.0,Adult,Exudate,MeOH,0.53,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-MeOH,80.0,72.0,86.0,Adult,Exudate,MeOH,0.86,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,0,1
Rhipicephalus decoloratus,Adult immersion test,Exudate-DCM,80.0,24.0,38.0,Adult,Exudate,DCM,0.38,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,1,0
Rhipicephalus decoloratus,Adult immersion test,Exudate-DCM,80.0,48.0,68.33,Adult,Exudate,DCM,0.6833,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,1,0
Rhipicephalus decoloratus,Adult immersion test,Exudate-DCM,80.0,72.0,100.0,Adult,Exudate,DCM,1.0,Paper-reported mean; not raw replicate-level observations,1,0,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,5.0,24.0,16.0,Adult,Stem bark,DCM,0.16,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,5.0,48.0,27.67,Adult,Stem bark,DCM,0.2767,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,5.0,72.0,34.67,Adult,Stem bark,DCM,0.3467,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,5.0,24.0,8.67,Adult,Stem bark,MeOH,0.0867,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,5.0,48.0,16.67,Adult,Stem bark,MeOH,0.16670000000000001,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,5.0,72.0,28.0,Adult,Stem bark,MeOH,0.28,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,5.0,24.0,5.33,Adult,Exudate,MeOH,0.0533,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,5.0,48.0,11.67,Adult,Exudate,MeOH,0.1167,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,5.0,72.0,21.0,Adult,Exudate,MeOH,0.21,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,5.0,24.0,9.33,Adult,Exudate,DCM,0.0933,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,5.0,48.0,21.33,Adult,Exudate,DCM,0.2133,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,5.0,72.0,30.0,Adult,Exudate,DCM,0.3,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,10.0,24.0,22.0,Adult,Stem bark,DCM,0.22,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,10.0,48.0,34.33,Adult,Stem bark,DCM,0.3433,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,10.0,72.0,57.0,Adult,Stem bark,DCM,0.57,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,10.0,24.0,12.0,Adult,Stem bark,MeOH,0.12,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,10.0,48.0,21.0,Adult,Stem bark,MeOH,0.21,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,10.0,72.0,46.33,Adult,Stem bark,MeOH,0.4633,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,10.0,24.0,9.0,Adult,Exudate,MeOH,0.09,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,10.0,48.0,16.67,Adult,Exudate,MeOH,0.16670000000000001,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,10.0,72.0,28.67,Adult,Exudate,MeOH,0.2867,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,10.0,24.0,15.0,Adult,Exudate,DCM,0.15,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,10.0,48.0,29.67,Adult,Exudate,DCM,0.2967,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,10.0,72.0,47.67,Adult,Exudate,DCM,0.4767,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,20.0,24.0,26.67,Adult,Stem bark,DCM,0.2667,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,20.0,48.0,42.67,Adult,Stem bark,DCM,0.4267,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,20.0,72.0,68.33,Adult,Stem bark,DCM,0.6833,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,20.0,24.0,15.33,Adult,Stem bark,MeOH,0.1533,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,20.0,48.0,32.33,Adult,Stem bark,MeOH,0.3233,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,20.0,72.0,58.67,Adult,Stem bark,MeOH,0.5867,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,20.0,24.0,14.67,Adult,Exudate,MeOH,0.1467,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,20.0,48.0,24.67,Adult,Exudate,MeOH,0.24670000000000003,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,20.0,72.0,44.33,Adult,Exudate,MeOH,0.44329999999999997,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,20.0,24.0,24.33,Adult,Exudate,DCM,0.2433,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,20.0,48.0,36.33,Adult,Exudate,DCM,0.36329999999999996,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,20.0,72.0,64.67,Adult,Exudate,DCM,0.6467,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,40.0,24.0,34.0,Adult,Stem bark,DCM,0.34,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,40.0,48.0,59.67,Adult,Stem bark,DCM,0.5967,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,40.0,72.0,84.67,Adult,Stem bark,DCM,0.8467,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,40.0,24.0,26.67,Adult,Stem bark,MeOH,0.2667,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,40.0,48.0,41.33,Adult,Stem bark,MeOH,0.4133,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,40.0,72.0,66.67,Adult,Stem bark,MeOH,0.6667000000000001,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,40.0,24.0,20.33,Adult,Exudate,MeOH,0.20329999999999998,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,40.0,48.0,36.33,Adult,Exudate,MeOH,0.36329999999999996,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,40.0,72.0,59.0,Adult,Exudate,MeOH,0.59,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,40.0,24.0,31.0,Adult,Exudate,DCM,0.31,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,40.0,48.0,47.0,Adult,Exudate,DCM,0.47,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,40.0,72.0,75.0,Adult,Exudate,DCM,0.75,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,80.0,24.0,41.67,Adult,Stem bark,DCM,0.4167,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,80.0,48.0,73.0,Adult,Stem bark,DCM,0.73,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-DCM,80.0,72.0,100.0,Adult,Stem bark,DCM,1.0,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,1,0
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,80.0,24.0,31.0,Adult,Stem bark,MeOH,0.31,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,80.0,48.0,55.0,Adult,Stem bark,MeOH,0.55,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Stem bark-MeOH,80.0,72.0,88.0,Adult,Stem bark,MeOH,0.88,Paper-reported mean; not raw replicate-level observations,0,1,1,0,0,1,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,80.0,24.0,26.67,Adult,Exudate,MeOH,0.2667,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,80.0,48.0,48.0,Adult,Exudate,MeOH,0.48,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-MeOH,80.0,72.0,83.33,Adult,Exudate,MeOH,0.8332999999999999,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,0,1
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,80.0,24.0,37.0,Adult,Exudate,DCM,0.37,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,80.0,48.0,67.33,Adult,Exudate,DCM,0.6733,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
Rhipicephalus microplus,Adult immersion test,Exudate-DCM,80.0,72.0,93.33,Adult,Exudate,DCM,0.9333,Paper-reported mean; not raw replicate-level observations,0,1,1,0,1,0,1,0
